Volts,X,Y,R,Theta
5.000000000000000278e-02,2.846130000000000141e-05,-1.173470000000000091e-06,2.850979999999999934e-05,-2.370000000000000107e+00
7.368421052631579649e-02,3.785659999999999937e-05,-3.855690000000000031e-07,3.788639999999999695e-05,-5.280000000000000249e-01
9.736842105263157632e-02,5.111119999999999948e-05,-8.009409999999999985e-07,5.112239999999999694e-05,-8.880000000000000115e-01
1.210526315789473700e-01,5.981720000000000049e-05,1.534830000000000092e-06,5.985450000000000096e-05,1.463999999999999968e+00
1.447368421052631637e-01,6.951810000000000107e-05,-1.057990000000000013e-06,6.955159999999999999e-05,-8.880000000000000115e-01
1.684210526315789713e-01,8.349169999999999888e-05,-1.151120000000000000e-06,8.347680000000000009e-05,-7.740000000000000213e-01
1.921052631578947234e-01,9.465260000000000242e-05,-7.711390000000000338e-07,9.466750000000000121e-05,-4.680000000000000271e-01
2.157894736842105310e-01,1.061490000000000030e-04,-1.356010000000000083e-06,1.061709999999999970e-04,-7.259999999999999787e-01
2.394736842105263386e-01,1.176820000000000025e-04,-1.139949999999999987e-06,1.176750000000000007e-04,-5.460000000000000409e-01
2.631578947368420907e-01,1.287100000000000060e-04,-5.140940000000000240e-07,1.287019999999999885e-04,-2.220000000000000029e-01
2.868421052631578982e-01,1.374640000000000107e-04,-1.698739999999999977e-06,1.374939999999999951e-04,-7.019999999999999574e-01
3.105263157894737058e-01,1.476190000000000108e-04,1.832849999999999951e-06,1.476270000000000013e-04,7.139999999999999680e-01
3.342105263157894579e-01,1.605160000000000061e-04,8.419190000000000363e-07,1.605009999999999868e-04,2.939999999999999836e-01
3.578947368421052655e-01,1.696880000000000057e-04,1.795600000000000011e-06,1.696430000000000019e-04,5.939999999999999725e-01
3.815789473684210731e-01,1.867120000000000108e-04,-8.791719999999999530e-07,1.867200000000000012e-04,-2.700000000000000178e-01
4.052631578947368252e-01,1.942900000000000117e-04,-5.662480000000000290e-07,1.942819999999999942e-04,-1.739999999999999880e-01
4.289473684210526327e-01,2.078419999999999931e-04,1.579530000000000063e-06,2.078419999999999931e-04,4.500000000000000111e-01
4.526315789473684403e-01,2.260220000000000122e-04,-1.460319999999999937e-06,2.260220000000000122e-04,-3.539999999999999813e-01
4.763157894736841924e-01,2.409230000000000106e-04,-5.006819999999999778e-06,2.410120000000000025e-04,-1.193999999999999950e+00
5.000000000000000000e-01,2.532920000000000137e-04,-2.026569999999999809e-06,2.533510000000000211e-04,-4.500000000000000111e-01
