Frecuencia,X,Y,R,Theta
5.000000000000000000e+02,2.267670000000000059e-04,1.579530000000000063e-06,2.268260000000000133e-04,3.840000000000000080e-01
1.510204081632653015e+03,2.262599999999999919e-04,3.516689999999999867e-06,2.263199999999999880e-04,8.880000000000000115e-01
2.520408163265306030e+03,2.250979999999999919e-04,6.228710000000000034e-06,2.251870000000000109e-04,1.584000000000000075e+00
3.530612244897959044e+03,2.237270000000000079e-04,8.404309999999999160e-06,2.239060000000000074e-04,2.160000000000000142e+00
4.540816326530612059e+03,2.219690000000000020e-04,1.126530000000000038e-05,2.222670000000000049e-04,2.910000000000000142e+00
5.551020408163265529e+03,2.192270000000000069e-04,1.424559999999999961e-05,2.197040000000000093e-04,3.725999999999999979e+00
6.561224489795918089e+03,2.160680000000000055e-04,1.791129999999999909e-05,2.168129999999999992e-04,4.746000000000000441e+00
7.571428571428570649e+03,2.129680000000000115e-04,2.175579999999999929e-05,2.140710000000000041e-04,5.838000000000000078e+00
8.581632653061224119e+03,2.096599999999999950e-04,2.592809999999999999e-05,2.112700000000000016e-04,7.049999999999999822e+00
9.591836734693877588e+03,2.061440000000000104e-04,3.036869999999999945e-05,2.083490000000000071e-04,8.381999999999999673e+00
1.060204081632653106e+04,2.025080000000000066e-04,3.525639999999999672e-05,2.055480000000000046e-04,9.875999999999999446e+00
1.161224489795918271e+04,1.987229999999999878e-04,4.038240000000000151e-05,2.027759999999999979e-04,1.149000000000000021e+01
1.262244897959183618e+04,1.949979999999999921e-04,4.580640000000000243e-05,2.003019999999999942e-04,1.322400000000000020e+01
1.363265306122448965e+04,1.910340000000000009e-04,5.140920000000000239e-05,1.978290000000000061e-04,1.506000000000000050e+01
1.464285714285714130e+04,1.873680000000000126e-04,5.742930000000000257e-05,1.959510000000000082e-04,1.703999999999999915e+01
1.565306122448979477e+04,1.833150000000000025e-04,6.356880000000000028e-05,1.940140000000000029e-04,1.912800000000000011e+01
1.666326530612244824e+04,1.796199999999999913e-04,7.006569999999999563e-05,1.927920000000000068e-04,2.131200000000000117e+01
1.767346938775509989e+04,1.759839999999999874e-04,7.686070000000000087e-05,1.920470000000000131e-04,2.359199999999999875e+01
1.868367346938775518e+04,1.721989999999999957e-04,8.374500000000000542e-05,1.914809999999999917e-04,2.593199999999999861e+01
1.969387755102040683e+04,1.682950000000000006e-04,9.089750000000000173e-05,1.913019999999999922e-04,2.836799999999999855e+01
2.070408163265306212e+04,1.645990000000000007e-04,9.831829999999999682e-05,1.917189999999999986e-04,3.085200000000000031e+01
2.171428571428571377e+04,1.606059999999999866e-04,1.060669999999999994e-04,1.924940000000000039e-04,3.344400000000000261e+01
2.272448979591836542e+04,1.567019999999999915e-04,1.141429999999999946e-04,1.938649999999999879e-04,3.606600000000000250e+01
2.373469387755102071e+04,1.530950000000000106e-04,1.226669999999999963e-04,1.961900000000000037e-04,3.870000000000000284e+01
2.474489795918367236e+04,1.497579999999999983e-04,1.314289999999999914e-04,1.992589999999999975e-04,4.126800000000000068e+01
