Frecuencia,X,Y,R,Theta
5.000000000000000000e+02,2.560630000000000046e-04,8.940739999999999630e-08,2.560929999999999890e-04,2.400000000000000050e-02
1.510204081632653015e+03,2.503709999999999920e-04,2.712030000000000019e-06,2.504310000000000151e-04,6.179999999999999938e-01
2.520408163265306030e+03,2.429200000000000120e-04,5.066420000000000020e-06,2.429789999999999923e-04,1.193999999999999950e+00
3.530612244897959044e+03,2.388070000000000058e-04,7.897670000000000230e-06,2.389559999999999937e-04,1.895999999999999908e+00
4.540816326530612059e+03,2.347840000000000072e-04,1.090770000000000061e-05,2.350219999999999870e-04,2.664000000000000146e+00
5.551020408163265529e+03,2.304320000000000055e-04,1.439459999999999937e-05,2.308800000000000121e-04,3.581999999999999851e+00
6.561224489795918089e+03,2.256340000000000017e-04,1.823909999999999957e-05,2.263789999999999954e-04,4.620000000000000107e+00
7.571428571428570649e+03,2.216110000000000031e-04,2.247109999999999903e-05,2.227429999999999916e-04,5.796000000000000263e+00
8.581632653061224119e+03,2.170510000000000061e-04,2.709040000000000070e-05,2.187199999999999930e-04,7.115999999999999659e+00
9.591836734693877588e+03,2.128789999999999925e-04,3.185890000000000087e-05,2.152330000000000042e-04,8.519999999999999574e+00
1.060204081632653106e+04,2.087360000000000018e-04,3.695510000000000131e-05,2.119850000000000109e-04,1.004400000000000048e+01
1.161224489795918271e+04,2.046240000000000114e-04,4.252809999999999691e-05,2.090050000000000089e-04,1.174799999999999933e+01
1.262244897959183618e+04,2.000039999999999913e-04,4.845879999999999757e-05,2.058159999999999959e-04,1.362599999999999945e+01
1.363265306122448965e+04,1.955039999999999903e-04,5.447889999999999775e-05,2.029549999999999974e-04,1.557000000000000028e+01
1.464285714285714130e+04,1.914510000000000072e-04,6.091619999999999793e-05,2.009280000000000115e-04,1.765200000000000102e+01
1.565306122448979477e+04,1.875470000000000121e-04,6.729410000000000339e-05,1.992290000000000131e-04,1.973400000000000176e+01
1.666326530612244824e+04,1.835829999999999938e-04,7.426789999999999412e-05,1.980370000000000014e-04,2.203200000000000003e+01
1.767346938775509989e+04,1.795300000000000108e-04,8.150979999999999673e-05,1.972029999999999888e-04,2.442000000000000171e+01
1.868367346938775518e+04,1.754469999999999890e-04,8.863260000000000246e-05,1.965769999999999985e-04,2.680199999999999960e+01
1.969387755102040683e+04,1.712449999999999910e-04,9.623219999999999658e-05,1.964579999999999950e-04,2.932799999999999940e+01
2.070408163265306212e+04,1.670130000000000085e-04,1.043680000000000009e-04,1.969639999999999933e-04,3.199200000000000088e+01
2.171428571428571377e+04,1.630790000000000017e-04,1.125040000000000057e-04,1.980969999999999975e-04,3.459599999999999653e+01
2.272448979591836542e+04,1.592350000000000026e-04,1.208189999999999964e-04,1.998849999999999878e-04,3.718800000000000239e+01
2.373469387755102071e+04,1.553310000000000075e-04,1.298500000000000121e-04,2.024480000000000105e-04,3.988799999999999812e+01
2.474489795918367236e+04,1.516049999999999961e-04,1.392669999999999932e-04,2.058460000000000075e-04,4.257000000000000028e+01
2.575510204081632401e+04,1.483570000000000028e-04,1.485950000000000096e-04,2.099880000000000095e-04,4.504800000000000182e+01
2.676530612244897929e+04,1.454960000000000042e-04,1.578639999999999915e-04,2.146969999999999944e-04,4.732800000000000296e+01
2.777551020408163095e+04,1.425160000000000023e-04,1.671920000000000079e-04,2.196739999999999977e-04,4.955400000000000205e+01
2.878571428571428260e+04,1.396550000000000037e-04,1.764900000000000128e-04,2.250680000000000074e-04,5.164800000000000324e+01
2.979591836734693788e+04,1.367039999999999976e-04,1.857890000000000062e-04,2.306710000000000010e-04,5.364600000000000080e+01
3.080612244897958954e+04,1.338730000000000107e-04,1.952660000000000105e-04,2.367799999999999929e-04,5.556600000000000250e+01
3.181632653061224482e+04,1.313399999999999995e-04,2.047429999999999877e-04,2.432769999999999952e-04,5.731199999999999761e+01
3.282653061224489647e+04,1.288360000000000113e-04,2.143090000000000110e-04,2.500429999999999775e-04,5.897999999999999687e+01
3.383673469387755176e+04,1.263930000000000077e-04,2.238759999999999958e-04,2.570769999999999783e-04,6.055199999999999960e+01
3.484693877551019978e+04,1.240380000000000074e-04,2.334720000000000035e-04,2.643780000000000088e-04,6.201599999999999824e+01
3.585714285714285506e+04,1.217130000000000051e-04,2.432179999999999878e-04,2.719779999999999767e-04,6.341400000000000148e+01
3.686734693877551035e+04,1.195380000000000064e-04,2.528450000000000229e-04,2.796969999999999752e-04,6.469199999999999307e+01
3.787755102040815837e+04,1.174509999999999975e-04,2.627090000000000219e-04,2.877730000000000110e-04,6.590999999999999659e+01
3.888775510204081365e+04,1.153059999999999968e-04,2.727229999999999975e-04,2.960880000000000152e-04,6.707999999999999829e+01
3.989795918367346894e+04,1.134279999999999989e-04,2.824379999999999816e-04,3.043429999999999963e-04,6.811199999999999477e+01
4.090816326530612423e+04,1.115210000000000051e-04,2.923029999999999964e-04,3.128370000000000001e-04,6.911400000000000432e+01
4.191836734693877224e+04,1.096730000000000052e-04,3.021969999999999800e-04,3.214800000000000188e-04,7.004999999999999716e+01
