Frecuencia,X,Y,R,Theta
5.000000000000000000e+02,1.977690000000000101e-04,2.294790000000000182e-06,1.973520000000000038e-04,7.500000000000000000e-01
6.000000000000000000e+03,1.990209999999999907e-04,3.007069999999999993e-05,2.012860000000000105e-04,8.598000000000000753e+00
1.150000000000000000e+04,1.819740000000000029e-04,6.714510000000000194e-05,1.939540000000000068e-04,2.025600000000000023e+01
1.700000000000000000e+04,1.636750000000000075e-04,1.123250000000000062e-04,1.984839999999999923e-04,3.445199999999999818e+01
2.250000000000000000e+04,1.451980000000000013e-04,1.645399999999999933e-04,2.194350000000000022e-04,4.858200000000000074e+01
2.800000000000000000e+04,1.327400000000000064e-04,2.225650000000000078e-04,2.591329999999999870e-04,5.919599999999999795e+01
3.350000000000000000e+04,1.211469999999999973e-04,2.813949999999999850e-04,3.063699999999999822e-04,6.670199999999999818e+01
3.900000000000000000e+04,1.137260000000000018e-04,3.401060000000000129e-04,3.586430000000000152e-04,7.150799999999999557e+01
4.450000000000000000e+04,1.078250000000000053e-04,3.993229999999999848e-04,4.135979999999999930e-04,7.488599999999999568e+01
5.000000000000000000e+04,1.029079999999999980e-04,4.587190000000000104e-04,4.701039999999999971e-04,7.735200000000000387e+01
