Frecuencia,X,Y,R,Theta
5.000000000000000000e+02,1.496679999999999907e-04,3.822179999999999885e-06,1.497579999999999983e-04,1.302000000000000046e+00
1.510204081632653015e+03,1.465089999999999893e-04,1.259900000000000084e-05,1.471130000000000126e-04,4.926000000000000156e+00
2.520408163265306030e+03,1.448479999999999928e-04,2.194210000000000122e-05,1.464120000000000070e-04,8.586000000000000298e+00
3.530612244897959044e+03,1.427389999999999898e-04,3.074130000000000330e-05,1.459879999999999988e-04,1.215600000000000058e+01
4.540816326530612059e+03,1.406830000000000081e-04,4.012159999999999886e-05,1.462409999999999979e-04,1.592399999999999949e+01
5.551020408163265529e+03,1.387310000000000106e-04,4.952420000000000265e-05,1.473590000000000099e-04,1.964999999999999858e+01
6.561224489795918089e+03,1.370020000000000005e-04,5.960490000000000254e-05,1.493929999999999976e-04,2.350799999999999912e+01
7.571428571428570649e+03,1.334709999999999965e-04,7.014769999999999925e-05,1.507780000000000123e-04,2.772599999999999909e+01
8.581632653061224119e+03,1.303409999999999909e-04,8.080949999999999939e-05,1.533410000000000079e-04,3.180000000000000071e+01
9.591836734693877588e+03,1.273160000000000123e-04,9.159050000000000340e-05,1.568130000000000045e-04,3.573599999999999710e+01
1.060204081632653106e+04,1.250369999999999889e-04,1.025580000000000030e-04,1.617380000000000022e-04,3.934799999999999898e+01
1.161224489795918271e+04,1.224440000000000088e-04,1.138380000000000034e-04,1.672070000000000002e-04,4.291799999999999926e+01
1.262244897959183618e+04,1.198650000000000052e-04,1.252530000000000017e-04,1.733609999999999958e-04,4.625399999999999778e+01
1.363265306122448965e+04,1.178089999999999964e-04,1.366589999999999938e-04,1.804239999999999924e-04,4.923599999999999710e+01
1.464285714285714130e+04,1.150750000000000053e-04,1.485280000000000118e-04,1.879189999999999875e-04,5.222999999999999687e+01
1.565306122448979477e+04,1.126979999999999974e-04,1.603970000000000027e-04,1.960780000000000021e-04,5.491799999999999926e+01
1.666326530612244824e+04,1.104479999999999969e-04,1.724969999999999986e-04,2.048019999999999951e-04,5.736599999999999966e+01
1.767346938775509989e+04,1.078850000000000013e-04,1.847159999999999980e-04,2.139520000000000007e-04,5.971200000000000330e+01
1.868367346938775518e+04,1.056199999999999950e-04,1.969639999999999933e-04,2.234589999999999895e-04,6.179999999999999716e+01
1.969387755102040683e+04,1.028180000000000039e-04,2.098389999999999945e-04,2.335919999999999956e-04,6.390599999999999881e+01
2.070408163265306212e+04,1.001059999999999933e-04,2.221769999999999973e-04,2.439030000000000126e-04,6.572400000000000375e+01
2.171428571428571377e+04,9.700700000000000143e-05,2.356480000000000044e-04,2.547820000000000011e-04,6.762000000000000455e+01
2.272448979591836542e+04,9.492090000000000119e-05,2.487920000000000127e-04,2.663149999999999871e-04,6.911400000000000432e+01
2.373469387755102071e+04,9.262609999999999735e-05,2.625309999999999840e-04,2.783260000000000183e-04,7.057800000000000296e+01
2.474489795918367236e+04,9.065909999999999399e-05,2.762400000000000250e-04,2.907240000000000171e-04,7.183199999999999363e+01
2.575510204081632401e+04,9.059949999999999883e-05,2.891139999999999834e-04,3.029129999999999778e-04,7.259399999999999409e+01
