Volts,X,Y,R,Theta
5.000000000000000278e-02,1.400989999999999947e-05,3.434729999999999893e-06,1.443649999999999976e-05,1.373399999999999999e+01
7.368421052631579649e-02,2.062520000000000033e-05,5.858049999999999758e-06,2.145220000000000105e-05,1.586400000000000077e+01
9.736842105263157632e-02,2.708300000000000141e-05,7.817579999999999782e-06,2.818379999999999941e-05,1.613400000000000034e+01
1.210526315789473700e-01,3.387619999999999932e-05,1.035450000000000056e-05,3.540350000000000078e-05,1.699800000000000111e+01
1.447368421052631637e-01,4.018120000000000079e-05,1.247419999999999993e-05,4.204570000000000302e-05,1.723799999999999955e+01
1.684210526315789713e-01,4.734120000000000000e-05,1.392329999999999932e-05,4.935849999999999846e-05,1.636199999999999832e+01
1.921052631578947234e-01,5.352890000000000176e-05,1.692409999999999946e-05,5.614779999999999798e-05,1.753800000000000026e+01
2.157894736842105310e-01,6.056969999999999710e-05,1.776980000000000053e-05,6.314790000000000572e-05,1.636199999999999832e+01
2.394736842105263386e-01,6.721959999999999589e-05,2.131620000000000099e-05,7.052770000000000577e-05,1.760399999999999920e+01
2.631578947368420907e-01,7.337380000000000551e-05,2.326460000000000084e-05,7.696119999999999762e-05,1.759199999999999875e+01
2.868421052631578982e-01,7.969560000000000316e-05,2.586109999999999876e-05,8.378600000000000045e-05,1.797599999999999909e+01
3.105263157894737058e-01,8.649799999999999752e-05,2.736980000000000009e-05,9.072619999999999882e-05,1.755000000000000071e+01
3.342105263157894579e-01,9.298739999999999675e-05,3.005199999999999958e-05,9.771860000000000322e-05,1.791000000000000014e+01
3.578947368421052655e-01,9.945080000000000673e-05,3.232089999999999746e-05,1.045620000000000062e-04,1.800600000000000023e+01
3.815789473684210731e-01,1.055010000000000051e-04,3.433249999999999697e-05,1.109469999999999933e-04,1.802400000000000091e+01
4.052631578947368252e-01,1.126090000000000055e-04,3.663469999999999672e-05,1.184199999999999945e-04,1.802400000000000091e+01
4.289473684210526327e-01,1.190310000000000060e-04,3.889970000000000298e-05,1.252079999999999979e-04,1.809600000000000009e+01
4.526315789473684403e-01,1.251410000000000001e-04,4.119450000000000005e-05,1.317419999999999865e-04,1.822200000000000131e+01
4.763157894736841924e-01,1.319210000000000131e-04,4.325829999999999883e-05,1.388279999999999929e-04,1.816199999999999903e+01
5.000000000000000000e-01,1.383880000000000038e-04,4.593310000000000242e-05,1.458089999999999994e-04,1.836599999999999966e+01
